benchmark,implementation,compiler,mean,std,min,max,repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39,iter40,iter41,iter42,iter43,iter44,iter45,iter46,iter47,iter48,iter49,iter50,iter51,iter52,iter53,iter54,iter55,iter56,iter57,iter58,iter59,iter60,iter61,iter62,iter63,iter64,iter65,iter66,iter67,iter68,iter69,iter70,iter71,iter72,iter73,iter74,iter75,iter76,iter77,iter78,iter79,iter80,iter81,iter82,iter83,iter84,iter85,iter86,iter87,iter88,iter89
backprop,js,browserify,0.8095,0.0131,0.7764,0.8261,10,0.8261,0.7764,0.8182,0.8070,0.8080,0.8116,0.8120,0.8057,0.8141,0.8158
backprop,c,wasm,0.4171,0.0038,0.4130,0.4260,10,0.4200,0.4190,0.4170,0.4150,0.4130,0.4160,0.4130,0.4260,0.4160,0.4160
lud,js,browserify,1.1933,0.0660,1.1300,1.4780,30,1.1320,1.1780,1.1710,1.1460,1.1920,1.1370,1.1730,1.2390,1.1930,1.1360,1.2320,1.2550,1.2540,1.1970,1.1760,1.4780,1.1300,1.1330,1.1510,1.1730,1.1900,1.2350,1.2380,1.2000,1.1830,1.2060,1.1310,1.1950,1.1450,1.1990
lud,c,wasm,0.7420,0.0652,0.6930,1.0220,30,0.7300,0.7190,0.7190,0.7260,0.7180,0.7520,0.7270,0.7170,0.7180,0.7320,0.7370,0.7220,0.7280,0.7250,0.7550,0.7040,0.6930,0.7220,0.7350,0.7190,0.9210,0.7500,0.7250,0.7340,1.0220,0.7350,0.7310,0.7200,0.7020,0.7210
bfs,js,browserify,0.2154,0.0050,0.2119,0.2328,30,0.2173,0.2133,0.2127,0.2172,0.2120,0.2132,0.2130,0.2127,0.2136,0.2125,0.2136,0.2125,0.2121,0.2328,0.2308,0.2192,0.2134,0.2187,0.2159,0.2142,0.2130,0.2160,0.2135,0.2127,0.2153,0.2194,0.2124,0.2135,0.2119,0.2122
bfs,cpp,wasm,0.1102,0.0018,0.1080,0.1160,30,0.1090,0.1110,0.1110,0.1110,0.1090,0.1080,0.1090,0.1090,0.1120,0.1080,0.1130,0.1100,0.1100,0.1090,0.1120,0.1080,0.1090,0.1090,0.1120,0.1100,0.1090,0.1100,0.1100,0.1080,0.1100,0.1100,0.1110,0.1120,0.1120,0.1160
crc,js,browserify,2.5821,0.0318,2.5515,2.6758,30,2.5618,2.5573,2.5654,2.6063,2.5568,2.5685,2.5767,2.5559,2.6016,2.5839,2.5628,2.5997,2.6758,2.5704,2.5515,2.6180,2.5562,2.5585,2.5560,2.6009,2.5516,2.6613,2.6113,2.5567,2.5919,2.5836,2.5584,2.5941,2.6161,2.5541
crc,c,wasm,1.0372,0.0126,1.0130,1.0670,30,1.0410,1.0140,1.0330,1.0320,1.0290,1.0390,1.0490,1.0520,1.0340,1.0290,1.0300,1.0520,1.0350,1.0670,1.0510,1.0600,1.0290,1.0510,1.0350,1.0290,1.0310,1.0280,1.0490,1.0250,1.0500,1.0320,1.0130,1.0320,1.0330,1.0310
hmm,js,browserify,4.1518,0.0702,4.0194,4.4509,90,4.1695,4.1477,4.1228,4.2580,4.1021,4.1892,4.1655,4.1475,4.0733,4.1176,4.0656,4.2089,4.0947,4.1397,4.2653,4.1535,4.1459,4.0826,4.1644,4.1559,4.1464,4.1360,4.1210,4.1600,4.0961,4.2277,4.1673,4.1678,4.1222,4.2983,4.1127,4.0746,4.1451,4.1550,4.2373,4.1081,4.1571,4.1501,4.1355,4.1604,4.1124,4.1238,4.0779,4.0702,4.0345,4.1416,4.2186,4.1807,4.2433,4.1074,4.2165,4.0754,4.2133,4.1665,4.2207,4.0733,4.1534,4.2805,4.0586,4.1603,4.2551,4.1416,4.1084,4.4509,4.1787,4.0475,4.1443,4.1584,4.2086,4.1311,4.2069,4.0847,4.1871,4.0194,4.0255,4.1368,4.1330,4.1419,4.1703,4.3049,4.1792,4.1818,4.1571,4.0378,4.1036,4.0515,4.1639,4.1038,4.3077,4.1614
hmm,c,wasm,1.9910,0.0462,1.8740,2.1470,31,1.9690,1.9690,1.9880,1.9570,2.0450,1.9820,1.9730,2.0130,1.9960,2.1010,1.9940,2.0150,1.9730,1.9570,2.1470,1.9710,1.9500,1.9950,1.8740,1.9720,1.9720,1.9660,1.9990,2.0130,1.9870,2.0070,1.9990,1.9720,2.0150,1.9800,1.9710
fft,js,browserify,1.6278,0.0260,1.6024,1.7128,30,1.6096,1.6082,1.6304,1.7128,1.6928,1.6066,1.6651,1.6443,1.6420,1.6088,1.6123,1.6063,1.6380,1.6167,1.6139,1.6034,1.6109,1.6295,1.6114,1.6024,1.6176,1.6100,1.6131,1.6244,1.6426,1.6553,1.6247,1.6149,1.6282,1.6370
fft,c,wasm,0.8628,0.0279,0.8210,0.9590,30,0.8490,0.8610,0.8640,0.8690,0.8510,0.8510,0.8870,0.8210,0.8540,0.8320,0.9590,0.8470,0.8460,0.8570,0.8500,0.8990,0.8470,0.8830,0.8440,0.8280,0.8580,0.8620,0.8490,0.8420,0.8720,0.8580,0.8980,0.8640,0.9190,0.8620
lavamd,js,browserify,1.2316,0.0154,1.2102,1.2648,30,1.2648,1.2330,1.2155,1.2431,1.2197,1.2413,1.2336,1.2425,1.2347,1.2250,1.2606,1.2204,1.2102,1.2122,1.2128,1.2191,1.2497,1.2195,1.2442,1.2359,1.2250,1.2333,1.2294,1.2205,1.2154,1.2613,1.2476,1.2176,1.2405,1.2185
lavamd,c,wasm,1.3826,0.0432,1.2740,1.4960,30,1.4520,1.3800,1.3650,1.3530,1.3250,1.3420,1.3880,1.3750,1.4240,1.3870,1.3530,1.4140,1.3740,1.3530,1.4320,1.3730,1.4020,1.3950,1.3620,1.2740,1.3060,1.3650,1.3980,1.3940,1.4120,1.4320,1.4960,1.3750,1.3730,1.4030
nqueens,js,browserify,5.6643,0.1832,5.3630,6.3180,30,5.9200,5.5510,5.9790,5.7100,5.5390,5.6330,5.5350,5.5320,5.8490,6.3180,5.7960,5.6160,5.5450,5.5900,5.6450,5.3630,5.7890,5.5900,5.5310,5.7420,5.6160,5.7970,5.5840,5.5560,5.5780,5.7870,5.5900,5.5700,5.5410,5.5370
nqueens,c,wasm,3.6386,0.0653,3.5690,3.8010,30,3.7100,3.6180,3.5710,3.6610,3.6380,3.6370,3.5920,3.5920,3.5880,3.6580,3.7000,3.5910,3.6310,3.5830,3.6000,3.7550,3.6040,3.6600,3.6170,3.5720,3.7130,3.5760,3.5950,3.6020,3.7650,3.5950,3.7510,3.6140,3.8010,3.5690
nw,js,browserify,0.1886,0.0018,0.1861,0.1922,10,0.1922,0.1900,0.1861,0.1883,0.1880,0.1885,0.1885,0.1900,0.1865,0.1884
nw,c,wasm,0.1340,0.0016,0.1320,0.1360,10,0.1340,0.1350,0.1320,0.1360,0.1320,0.1350,0.1330,0.1350,0.1320,0.1360
pagerank,js,browserify,0.4001,0.0148,0.3858,0.4332,30,0.4332,0.4298,0.4300,0.4240,0.4273,0.4039,0.3882,0.4076,0.3981,0.3876,0.3864,0.3983,0.3963,0.3926,0.3970,0.3970,0.3867,0.3891,0.3858,0.3875,0.3859,0.3862,0.4083,0.3951,0.4017,0.3873,0.4100,0.3938,0.3969,0.3926
pagerank,c,wasm,0.2919,0.0123,0.2500,0.3270,30,0.2920,0.2900,0.2930,0.2500,0.2950,0.2910,0.2800,0.2970,0.3270,0.2900,0.2900,0.3090,0.2910,0.2860,0.3010,0.2790,0.2920,0.3130,0.2960,0.2910,0.2900,0.2910,0.2920,0.2910,0.2870,0.2930,0.2960,0.2900,0.2810,0.2930
spmv,js,browserify,1.3705,0.0280,1.3312,1.4346,30,1.3529,1.3361,1.3419,1.3960,1.4291,1.3724,1.3947,1.3726,1.3938,1.3578,1.3609,1.3618,1.3536,1.3518,1.3697,1.3863,1.3809,1.3478,1.3312,1.3754,1.3951,1.4346,1.3520,1.3416,1.3708,1.3391,1.4322,1.3499,1.3484,1.3837
spmv,c,wasm,0.9242,0.0386,0.8990,1.0860,30,0.9170,0.9080,0.9060,0.8990,0.9670,1.0860,0.9050,0.9010,1.0070,0.9080,0.8990,0.9320,0.9030,0.9550,0.9230,0.9040,0.8990,0.9050,0.9230,0.9050,0.9190,0.9090,0.9110,0.9040,0.9450,0.9050,0.9130,0.9250,0.9120,0.9320
srad,js,browserify,7.3579,0.1458,7.1386,7.6458,30,7.1475,7.2956,7.5023,7.5726,7.5068,7.3810,7.1872,7.4645,7.4581,7.4454,7.3756,7.5312,7.1615,7.4410,7.4279,7.2659,7.6024,7.2412,7.2778,7.1913,7.1386,7.3775,7.2015,7.6458,7.3876,7.2844,7.1408,7.2634,7.4128,7.4068
srad,c,wasm,3.5365,0.0674,3.4730,3.7650,30,3.5160,3.5060,3.5530,3.5150,3.4850,3.4790,3.5660,3.6750,3.6320,3.5400,3.4900,3.5080,3.6020,3.4900,3.5670,3.4790,3.5000,3.4750,3.5480,3.7650,3.5340,3.4730,3.4860,3.4760,3.5960,3.4870,3.5700,3.4870,3.5880,3.5070
