benchmark,implementation,compiler,environment,mean,std,min,max,repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39
bfs,js,browserify,chrome63,0.8039,0.0107,0.7889,0.8268,30,0.8124,0.8214,0.7959,0.7938,0.7985,0.7915,0.7984,0.7889,0.8008,0.8096,0.8191,0.8194,0.8022,0.8244,0.8089,0.7905,0.8034,0.8069,0.8002,0.8268,0.7971,0.7976,0.7955,0.7923,0.8026,0.8193,0.7991,0.7964,0.8040,0.8011
bfs,cpp,wasm,chrome63,0.5465,0.0089,0.5360,0.5830,30,0.5520,0.5490,0.5440,0.5400,0.5450,0.5470,0.5540,0.5420,0.5420,0.5400,0.5420,0.5490,0.5460,0.5430,0.5400,0.5450,0.5360,0.5510,0.5420,0.5560,0.5480,0.5530,0.5380,0.5400,0.5390,0.5830,0.5420,0.5430,0.5600,0.5440
lud,js,browserify,chrome63,7.4243,0.1343,7.1590,7.6330,30,7.3390,7.2720,7.3470,7.3130,7.1590,7.6330,7.3700,7.2480,7.2850,7.6150,7.4650,7.3990,7.4760,7.4850,7.5440,7.6150,7.5640,7.4080,7.6220,7.2130,7.5090,7.5910,7.5780,7.3370,7.3840,7.4530,7.4860,7.2580,7.3380,7.4240
lud,c,wasm,chrome63,4.9871,0.2102,4.7280,5.5900,30,4.8020,4.8010,5.5900,4.8790,5.0190,5.1190,5.5100,5.0550,5.0170,5.1450,4.9520,4.8310,4.7330,4.8640,4.8960,4.9460,4.8560,4.9780,4.8260,5.0100,5.4220,4.8830,5.1220,4.7280,4.9850,4.9730,4.7550,4.9180,4.9230,5.0740
backprop,js,browserify,chrome63,1.9436,0.0306,1.9281,2.1028,30,1.9412,1.9374,1.9449,1.9325,1.9383,1.9320,1.9355,1.9429,1.9357,1.9281,1.9376,1.9369,1.9417,1.9343,1.9333,1.9327,1.9362,1.9316,1.9362,1.9382,1.9468,1.9373,1.9409,1.9433,1.9547,1.9334,1.9359,1.9437,2.1028,1.9418
backprop,c,wasm,chrome63,1.4348,0.0070,1.4250,1.4590,30,1.4410,1.4310,1.4340,1.4250,1.4290,1.4350,1.4280,1.4300,1.4410,1.4360,1.4300,1.4300,1.4300,1.4290,1.4440,1.4260,1.4410,1.4330,1.4370,1.4380,1.4370,1.4260,1.4410,1.4410,1.4350,1.4590,1.4310,1.4310,1.4350,1.4400
crc,js,browserify,chrome63,2.7225,0.0061,2.7130,2.7420,30,2.7270,2.7230,2.7190,2.7210,2.7230,2.7280,2.7180,2.7240,2.7220,2.7230,2.7130,2.7270,2.7180,2.7230,2.7200,2.7260,2.7160,2.7180,2.7130,2.7170,2.7310,2.7180,2.7300,2.7420,2.7290,2.7200,2.7150,2.7220,2.7220,2.7270
crc,c,wasm,chrome63,3.1692,0.0103,3.1480,3.1960,30,3.1680,3.1910,3.1660,3.1780,3.1500,3.1830,3.1700,3.1630,3.1690,3.1750,3.1740,3.1720,3.1600,3.1670,3.1720,3.1480,3.1710,3.1710,3.1560,3.1580,3.1610,3.1680,3.1690,3.1960,3.1720,3.1690,3.1740,3.1720,3.1740,3.1580
fft,js,browserify,chrome63,13.7482,0.0422,13.6396,13.8353,30,13.7340,13.7132,13.7283,13.7860,13.7457,13.6918,13.7696,13.7801,13.7327,13.7987,13.8025,13.7756,13.7450,13.7976,13.7457,13.7538,13.7808,13.7730,13.7931,13.7936,13.7155,13.8353,13.6868,13.7241,13.7278,13.7171,13.7079,13.7149,13.6396,13.7355
fft,c,wasm,chrome63,2.7570,0.0093,2.7460,2.7910,30,2.7910,2.7610,2.7470,2.7490,2.7530,2.7690,2.7460,2.7590,2.7580,2.7560,2.7620,2.7530,2.7490,2.7560,2.7470,2.7540,2.7520,2.7750,2.7570,2.7570,2.7490,2.7530,2.7490,2.7680,2.7570,2.7540,2.7550,2.7560,2.7540,2.7640
hmm,js,browserify,chrome63,9.5475,0.3111,9.1715,10.8007,30,9.6971,9.4768,9.6237,9.6511,9.4306,9.5416,9.3121,9.4695,9.9511,9.5237,9.1741,9.7648,9.7085,9.4588,9.2556,10.0312,9.3893,9.2307,9.3493,9.4943,9.1715,9.6218,9.5352,9.4392,10.8007,9.4334,9.4063,9.3382,9.5004,9.6440
hmm,c,wasm,chrome63,7.6045,0.1779,7.3600,8.0700,30,7.4620,7.5270,7.5380,7.5540,7.6380,7.5030,7.4220,7.5400,8.0570,7.8030,7.7910,7.5880,7.4330,7.3600,7.5430,7.3930,7.6760,7.6260,7.5040,7.6930,7.4310,7.5280,7.6740,7.6970,8.0700,7.3760,7.5410,7.8630,7.6800,7.6250
lavamd,js,browserify,chrome63,4.0265,0.0146,4.0005,4.0613,30,4.0316,4.0397,4.0398,4.0337,4.0313,4.0389,4.0500,4.0206,4.0140,4.0490,4.0411,4.0068,4.0031,4.0275,4.0141,4.0099,4.0135,4.0613,4.0156,4.0450,4.0228,4.0211,4.0268,4.0232,4.0165,4.0238,4.0274,4.0254,4.0201,4.0005
lavamd,c,wasm,chrome63,2.9505,0.0118,2.9150,2.9660,30,2.9660,2.9550,2.9540,2.9570,2.9520,2.9500,2.9570,2.9510,2.9610,2.9370,2.9530,2.9470,2.9590,2.9610,2.9600,2.9150,2.9510,2.9510,2.9510,2.9570,2.9510,2.9260,2.9180,2.9500,2.9580,2.9540,2.9580,2.9530,2.9480,2.9540
nqueens,js,browserify,chrome63,13.1981,0.0181,13.1760,13.2530,30,13.2190,13.2010,13.1770,13.2090,13.2530,13.1990,13.2050,13.2070,13.1910,13.1940,13.1900,13.1780,13.1930,13.1850,13.1850,13.2060,13.1980,13.1990,13.2380,13.1760,13.1860,13.1880,13.2290,13.1890,13.1780,13.1920,13.1760,13.2010,13.1980,13.2040
nqueens,c,wasm,chrome63,9.2268,0.0157,9.1910,9.2560,30,9.2180,9.2140,9.2460,9.2140,9.2430,9.2490,9.2370,9.2540,9.2560,9.2300,9.2350,9.2460,9.1910,9.2140,9.2190,9.2080,9.2180,9.2350,9.2270,9.2310,9.2240,9.2370,9.2420,9.2280,9.2150,9.2200,9.2160,9.2140,9.2190,9.2030
nw,js,browserify,chrome63,0.6018,0.0033,0.5958,0.6087,30,0.6007,0.6006,0.6002,0.6087,0.5971,0.6024,0.5975,0.6012,0.6018,0.6029,0.6051,0.6016,0.5971,0.6027,0.6036,0.5961,0.6006,0.6065,0.6073,0.5994,0.6055,0.5992,0.6055,0.6032,0.6015,0.6014,0.6026,0.6002,0.5958,0.6050
nw,c,wasm,chrome63,0.3490,0.0013,0.3470,0.3520,30,0.3490,0.3490,0.3480,0.3480,0.3480,0.3480,0.3500,0.3480,0.3470,0.3490,0.3480,0.3490,0.3490,0.3500,0.3510,0.3500,0.3490,0.3480,0.3500,0.3490,0.3510,0.3510,0.3520,0.3480,0.3480,0.3480,0.3470,0.3500,0.3480,0.3500
pagerank,js,browserify,chrome63,1.8572,0.0273,1.7683,1.8863,30,1.8764,1.8863,1.8429,1.8787,1.8732,1.8816,1.8504,1.8506,1.8487,1.8704,1.8817,1.8845,1.8615,1.8737,1.8521,1.8658,1.8527,1.8573,1.8514,1.7683,1.8805,1.8776,1.8429,1.8638,1.7726,1.8383,1.8536,1.8611,1.8638,1.8537
pagerank,c,wasm,chrome63,0.9968,0.0258,0.9560,1.0590,30,1.0490,0.9750,1.0190,1.0160,0.9870,0.9620,0.9820,0.9940,0.9810,1.0400,0.9560,1.0270,0.9840,1.0590,0.9810,0.9790,0.9590,0.9950,1.0260,0.9950,1.0120,0.9820,0.9770,0.9770,1.0100,0.9900,0.9970,0.9800,0.9950,1.0170
spmv,js,browserify,chrome63,4.9122,0.1277,4.8622,5.2718,10,4.8625,4.8672,4.8688,4.8639,4.8737,4.8631,4.8622,4.9225,4.8662,5.2718
srad,js,browserify,chrome63,17.7645,0.0890,17.3700,17.8706,30,17.7875,17.7733,17.8620,17.8253,17.7724,17.8706,17.7270,17.7988,17.7860,17.7355,17.7335,17.7492,17.3700,17.7149,17.8265,17.7010,17.7441,17.7726,17.8029,17.7778,17.8330,17.7944,17.8229,17.7856,17.6337,17.7637,17.8300,17.7809,17.7848,17.7749
spmv,c,wasm,chrome63,2.9381,0.1149,2.8600,3.2050,10,3.2050,3.0630,2.9840,2.9150,2.8910,2.8610,2.8690,2.8620,2.8710,2.8600
backprop,js,browserify,samsung-internet,2.0540,0.0063,2.0419,2.0637,11,2.0511,2.0419,2.0610,2.0566,2.0545,2.0571,2.0580,2.0536,2.0503,2.0467,2.0637
bfs,js,browserify,firefox57,0.6263,0.0139,0.6131,0.6662,40,0.6216,0.6131,0.6231,0.6204,0.6188,0.6194,0.6208,0.6324,0.6232,0.6265,0.6195,0.6181,0.6182,0.6181,0.6231,0.6497,0.6179,0.6149,0.6248,0.6270,0.6239,0.6182,0.6244,0.6252,0.6206,0.6185,0.6212,0.6139,0.6138,0.6214,0.6662,0.6217,0.6658,0.6500,0.6317,0.6533,0.6173,0.6227,0.6559,0.6143
bfs,cpp,wasm,firefox57,0.4366,0.0047,0.4280,0.4430,10,0.4360,0.4340,0.4370,0.4360,0.4430,0.4280,0.4400,0.4370,0.4430,0.4320
lud,js,browserify,firefox57,18.6799,3.5601,15.5170,27.0200,10,27.0200,15.5170,18.3650,18.0160,22.9980,16.6440,16.4930,17.6370,16.9540,17.1550
backprop,js,browserify,firefox57,2.8873,0.0463,2.8372,2.9524,10,2.8601,2.9416,2.8474,2.8444,2.8372,2.8469,2.9354,2.8820,2.9524,2.9255
backprop,c,wasm,firefox57,1.2947,0.0063,1.2830,1.3040,10,1.3040,1.2920,1.2830,1.2930,1.2940,1.2990,1.2960,1.2990,1.2870,1.3000
crc,c,wasm,firefox57,2.5482,0.0097,2.5310,2.5680,10,2.5470,2.5310,2.5490,2.5430,2.5680,2.5550,2.5440,2.5420,2.5540,2.5490
srad,c,wasm,chrome63,9.7111,0.0276,9.6220,9.7570,30,9.7130,9.7140,9.7060,9.6880,9.7300,9.7330,9.7060,9.7100,9.7380,9.7070,9.7360,9.7050,9.6980,9.7280,9.7080,9.7340,9.6280,9.7020,9.7100,9.7170,9.7090,9.7140,9.7110,9.7350,9.7080,9.7350,9.7570,9.7150,9.7150,9.6220
lud,c,wasm,firefox57,4.9979,0.1560,4.8130,5.3440,10,4.8460,4.9510,4.8930,5.0090,5.3440,5.1280,4.8130,4.9930,5.0770,4.9250
fft,js,browserify,firefox57,2.7769,0.0591,2.6741,2.8732,10,2.7533,2.8502,2.7813,2.8117,2.8732,2.7905,2.7471,2.7193,2.6741,2.7684
fft,c,wasm,firefox57,2.3143,0.0031,2.3100,2.3190,10,2.3150,2.3190,2.3130,2.3170,2.3140,2.3160,2.3100,2.3120,2.3170,2.3100
hmm,js,browserify,firefox57,10.1018,0.2681,9.7137,10.4766,10,10.4207,9.8561,10.2458,10.3301,9.7137,9.7984,10.0475,10.1725,10.4766,9.9571
lavamd,js,browserify,firefox57,2.4189,0.0040,2.4129,2.4269,10,2.4269,2.4159,2.4200,2.4195,2.4234,2.4175,2.4158,2.4180,2.4129,2.4191
lavamd,c,wasm,firefox57,3.0070,0.0121,2.9740,3.0150,10,2.9740,3.0150,3.0070,3.0110,3.0140,3.0070,3.0110,3.0050,3.0150,3.0110
crc,js,browserify,firefox57,24.8541,0.0653,24.7750,24.9720,10,24.8180,24.8360,24.7750,24.8220,24.9260,24.7770,24.8340,24.9170,24.9720,24.8640
nqueens,js,browserify,firefox57,12.3182,0.1657,12.1090,12.7100,10,12.3250,12.1090,12.3710,12.2360,12.3150,12.1240,12.2980,12.3620,12.7100,12.3320
hmm,c,wasm,firefox57,6.0011,0.1376,5.7540,6.1570,10,5.8950,6.0380,5.9750,6.1100,6.1570,5.8680,6.1520,5.7540,6.1250,5.9370
nqueens,c,wasm,firefox57,7.4224,0.0522,7.3650,7.5360,10,7.4570,7.3660,7.3910,7.5360,7.4350,7.3970,7.3960,7.3650,7.4210,7.4600
nw,js,browserify,firefox57,0.4423,0.0044,0.4358,0.4491,10,0.4369,0.4420,0.4491,0.4387,0.4433,0.4431,0.4416,0.4358,0.4450,0.4479
nw,c,wasm,firefox57,0.3218,0.0018,0.3200,0.3250,10,0.3240,0.3200,0.3220,0.3200,0.3220,0.3230,0.3210,0.3210,0.3250,0.3200
pagerank,js,browserify,firefox57,1.6393,0.0406,1.5324,1.6650,10,1.5324,1.6102,1.6511,1.6650,1.6550,1.6552,1.6503,1.6560,1.6542,1.6640
srad,js,browserify,firefox57,15.8590,0.1240,15.6424,16.0617,10,15.8812,15.8561,16.0617,15.6424,16.0274,15.7993,15.8518,15.8628,15.8800,15.7273
pagerank,c,wasm,firefox57,1.0502,0.0179,1.0090,1.0730,10,1.0500,1.0550,1.0560,1.0650,1.0360,1.0420,1.0730,1.0560,1.0090,1.0600
spmv,js,browserify,firefox57,5.4151,0.5939,5.2030,7.1036,10,5.2241,5.2553,5.2391,5.2130,5.2030,5.2101,5.2059,5.2118,5.2850,7.1036
spmv,c,wasm,firefox57,2.6839,0.0088,2.6750,2.7020,10,2.7020,2.6780,2.6860,2.6970,2.6800,2.6790,2.6750,2.6820,2.6790,2.6810
lud,js,browserify,samsung-internet,5.3010,0.5050,4.7920,6.1080,10,5.0540,5.0230,5.5270,4.7920,5.7450,6.0330,6.1080,4.8750,4.9060,4.9470
crc,js,browserify,samsung-internet,5.0232,0.0088,5.0090,5.0340,10,5.0320,5.0160,5.0270,5.0340,5.0220,5.0340,5.0160,5.0260,5.0090,5.0160
fft,js,browserify,samsung-internet,6.4997,0.0338,6.4468,6.5429,10,6.4971,6.5285,6.5429,6.5014,6.4468,6.4582,6.5378,6.4628,6.5121,6.5095
srad,c,wasm,firefox57,9.2433,0.0117,9.2300,9.2710,10,9.2460,9.2440,9.2430,9.2410,9.2380,9.2380,9.2300,9.2310,9.2510,9.2710
hmm,js,browserify,samsung-internet,7.3050,0.3677,6.7360,7.9722,10,7.3630,6.9972,7.9722,7.5866,6.7360,7.4535,7.5206,7.0193,7.4227,6.9792
nqueens,js,browserify,samsung-internet,10.3237,0.0202,10.3070,10.3780,10,10.3110,10.3070,10.3230,10.3130,10.3210,10.3150,10.3170,10.3230,10.3780,10.3290
lavamd,js,browserify,samsung-internet,43.6090,0.1574,43.3235,43.8697,10,43.6688,43.5732,43.7093,43.6960,43.3235,43.5560,43.8697,43.6687,43.3983,43.6263
nw,js,browserify,samsung-internet,0.5299,0.0075,0.5233,0.5460,10,0.5241,0.5241,0.5233,0.5365,0.5321,0.5321,0.5460,0.5329,0.5248,0.5235
spmv,js,browserify,samsung-internet,4.5450,0.0299,4.5313,4.6292,10,4.5355,4.5320,4.6292,4.5397,4.5334,4.5458,4.5313,4.5324,4.5327,4.5379
pagerank,js,browserify,samsung-internet,1.1715,0.0320,1.1357,1.2220,10,1.2063,1.2220,1.1409,1.1357,1.1992,1.1482,1.1917,1.1798,1.1510,1.1398
srad,js,browserify,samsung-internet,17.3862,0.0768,17.1887,17.4514,10,17.3434,17.4514,17.3985,17.3993,17.4188,17.4236,17.1887,17.4418,17.4279,17.3684
























































