benchmark,mean,std,min,max,repetitions,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
backprop,0.8015,0.0429,0.7403,0.8543,10,0.7495,0.7801,0.7704,0.8537,0.7403,0.8543,0.7972,0.8495,0.8290,0.7908
bfs,0.2192,0.0031,0.2162,0.2277,10,0.2186,0.2188,0.2177,0.2162,0.2186,0.2180,0.2183,0.2194,0.2277,0.2189
crc,2.6374,0.0238,2.5988,2.6824,10,2.6447,2.5988,2.6474,2.6260,2.6057,2.6471,2.6824,2.6410,2.6314,2.6499
lavamd,2.0951,0.0592,2.0553,2.2609,10,2.0936,2.0819,2.0847,2.2609,2.0704,2.0662,2.0800,2.0553,2.0816,2.0760
fft,5.4165,0.2073,5.0995,5.7497,10,5.1118,5.0995,5.4722,5.3832,5.3766,5.6150,5.4006,5.3575,5.5993,5.7497
hmm,4.4234,0.0708,4.2754,4.5603,10,4.2754,4.4157,4.4195,4.4369,4.4085,4.3833,4.5603,4.4656,4.4200,4.4493
nw,0.1873,0.0018,0.1851,0.1914,10,0.1872,0.1886,0.1866,0.1860,0.1914,0.1857,0.1863,0.1851,0.1875,0.1884
pagerank,0.4235,0.0213,0.3899,0.4431,10,0.4431,0.4322,0.3899,0.4376,0.4431,0.4366,0.3980,0.4309,0.4312,0.3921
nqueens,6.9533,0.0854,6.8200,7.1090,10,6.9220,6.9100,7.1090,6.9730,7.0120,7.0080,6.8780,6.8860,6.8200,7.0150
srad,6.8946,0.9026,5.6851,7.8618,10,5.7714,5.6880,5.6851,6.5786,7.7396,7.7961,7.8618,7.1676,7.0667,7.5913
lud,1.3224,0.0522,1.2460,1.4010,10,1.2460,1.3830,1.3340,1.2840,1.3190,1.3140,1.4010,1.2600,1.3060,1.3770
spmv,1.4055,0.1078,1.3587,1.7095,10,1.3699,1.3588,1.3697,1.3738,1.3633,1.7095,1.4105,1.3718,1.3691,1.3587
